report,source,authored_at,author,status,incident_title,incident_category,important,place_name,notes
"RT @ignitopedia: @ekekeee @Elexharry @elrufai @ged @eggheader my Liberia friend z d civil war in liberia started like dis. We must aver ...","Twitter 1","2011-11-08 08:00:25",ekekeee,NULL,NULL,NULL,NULL,NULL,NULL
"UN intervenes to stop violence before Liberia election","Twitter 1","2011-11-08 08:00:57",JJonny72,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia: Opposition Blames Police for Deadly Clashes, Vows to Boycott Election http://t.co/GdLj2or1 via @VOAAfrica #Africa","Twitter 1","2011-11-08 08:01:48",vote4africa,NULL,NULL,NULL,NULL,NULL,NULL
"RT @vote4africa: Obama on #Liberia poll: ""The intern'l community will hold accountable those who choose to obstruct the democratic proce ...","Twitter 1","2011-11-08 08:02:53",liberiapp,NULL,NULL,NULL,NULL,NULL,NULL
"LIBERIA - PRÃƒâ€°SIDENTIELLE : Ouverture des bureaux de vote,EllenJohnsonSirleaf seule candidate au second tour http://t.co/ZIcYHBoX","Twitter 1","2011-11-08 08:03:03",France24_fr,NULL,NULL,NULL,NULL,NULL,NULL
"TRAFFIC JAM BENETTA BUT ITS OKAY NOW SWEETIE!!!!","Liberia Media Monitoring","2011-11-08 08:03:16","Elvis Cephas",NULL,NULL,NULL,NULL,NULL,NULL
"Liberia vote despite protests: Liberia's presidential run-off goes ahead despite at least one death during opp... http://t.co/XdRTFYsG","Twitter 1","2011-11-08 08:04:06",kellypaul123,NULL,NULL,NULL,NULL,NULL,NULL
"TheNATION NEWSPAPER: Violence, boycott threaten Liberia's run-off http://t.co/t1HRmFk1 #NaijaStuffs","Twitter 1","2011-11-08 08:04:23",NaijaStuffs,NULL,NULL,NULL,NULL,NULL,NULL
"Violence, boycott threaten Liberia's run-off http://t.co/Lu6mhRa3","Twitter 1","2011-11-08 08:04:15",9jaYarn,NULL,NULL,NULL,NULL,NULL,NULL
"RT @AfricaHand Chaos in Liberia is chaos in West Africa http://t.co/9fs8uq08","Twitter 1","2011-11-08 08:04:23",EdPomfret,NULL,NULL,NULL,NULL,NULL,NULL
"YOU CAN CALL NOW AND  YOU WILL GET THROUGH!!!!!","Liberia Media Monitoring","2011-11-08 08:04:01","Elvis Cephas",NULL,NULL,NULL,NULL,NULL,NULL
"RT RT Liberia vote despite protests: Liberia's presidential run-off goes ahead despite at least one death during... http://t.co/LaUhtXQe","Twitter 1","2011-11-08 08:05:24",caakra,NULL,NULL,NULL,NULL,NULL,NULL
"I can't show you where Liberia is because you gave me a raging boner #wonderyears","Twitter 1","2011-11-08 08:05:12",Nosaj2433,NULL,NULL,NULL,NULL,NULL,NULL
"I'm urging all of my family, friends and fans in Liberia to stay away from this madness until these greedy politicians & blood sucking vampire leaders can put the safety of Liberia first.  Irresponsible men and women in coats, ties dresses and lipstics has no pity for Mama Liberia.  I'm not in Liberia and there is no way I would encourage any of my people to go out to vote under such atmosphere.  You ain't gonna die voting for no body.  Stay home until they can fix the mess they created.  Got my calling card and the roll call is on.  every one that I know be it you for UP, CDC or what ever PD, you ain't going out in these streets to die for these power junkies.  ","Liberian Observer Facebook","2011-11-08 08:04:53","Robert BlackDiamond",NULL,NULL,NULL,NULL,NULL,NULL
"Lol...where did the name derive grassrootRT LuckyLeo_87 Only Liberia will have a political party calrmqM9r","Twitter 1","2011-11-08 08:06:14",siegerswasuh9,NULL,NULL,NULL,NULL,NULL,NULL
"#Liberia http://t.co/lzYgiO1t @GetGlue #AlJazeera","Twitter 1","2011-11-08 08:06:31",Duivelsei,NULL,NULL,NULL,NULL,NULL,NULL
"Violence, boycott threaten Liberia's run-off http://t.co/juZKW0KX","Twitter 1","2011-11-08 08:06:16",TheNationNews,NULL,NULL,NULL,NULL,NULL,NULL
"Gewalt ÃƒÂ¼berschattet Stichwahl in Liberia","Twitter 1","2011-11-08 08:05:34",dw_tv,NULL,NULL,NULL,NULL,NULL,NULL
"WHY HASN'T LAWRENCE AND LMC POSTED SOME OF THE LOOTING PHOTOS?? WHY WHY WHY??????? OR THEIR CAMERA CANT CATCH THOSE ONES!!!!!!!","Liberia Media Monitoring","2011-11-08 08:06:09","Elvis Cephas",NULL,NULL,NULL,NULL,NULL,NULL
"We support this government in taking whatever means necessary in protecting our peace. If it includes closing down all the radio stations that instigates violence, so be it. No room for radio Kigali, because we know to what extend they can instigate Violence.","Liberia Media Monitoring","2011-11-08 08:05:52","Emmanuel Mator",NULL,NULL,NULL,NULL,NULL,NULL
"RT @AIPRny: #Liberia #GenPrev in the News [7 November 2011] Ã‚Â« http://t.co/GeTPUWin","Twitter 1","2011-11-08 08:07:26",enzolefevre,NULL,NULL,NULL,NULL,NULL,NULL
"DTN Nigeria: Violence, boycott threaten Liberia's run-off: Tension, a planned opposition boycott and fresh memor... http://t.co/Sev2BhkH","Twitter 1","2011-11-08 08:07:27",DTNNigeria,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia's presidential run-off goes ahead despite at least one death during opposition protests and a boycott over fraud claims.","Twitter 1","2011-11-08 08:07:37",bbc24,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia vote despite protests: Liberia's presidential run-off goes ahead despite at least one death during opp... http://t.co/WOKFRYjt","Twitter 1","2011-11-08 08:07:37",BBCUK,NULL,NULL,NULL,NULL,NULL,NULL
"#BBCNEWS Liberia vote despite protests: Liberia's presidential run-off goes ahead despite at least one death d... http://t.co/J1IRck00","Twitter 1","2011-11-08 08:07:42",BBCNews_UK,NULL,NULL,NULL,NULL,NULL,NULL
"KALANDO'S PLACE W SEE ANY PHOTOS WAS LOOTED AND WE CANT SEE ANY PHOTOS WHY???? WHY  MR. ADMINISTRATOR!!!!!!!! THE COUNTRY IS WATCHING YOU BRO!!!!!","Liberia Media Monitoring","2011-11-08 08:07:39","Elvis Cephas",NULL,NULL,NULL,NULL,NULL,NULL
"RT RT Liberia vote despite protests: Liberia's presidential run-off goes ahead despite at least one death during... http://t.co/cYMXzMEE","Twitter 1","2011-11-08 08:09:03",caakra,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia vote despite protests: Liberia's presidential run-off goes ahead despite at least one death during... http://t.co/jc8v8iaJ","Twitter 1","2011-11-08 08:09:15",News_Room24,NULL,NULL,NULL,NULL,NULL,NULL
"Violence, boycott cast gloom over #Liberia's run-offÃ¢â‚¬Â¦ #continental #feature","Twitter 1","2011-11-08 08:08:40",filtre_news,NULL,NULL,NULL,NULL,NULL,NULL
