report,source,authored_at,author,status,incident_title,incident_category,important,place_name,notes
"everyone drink Liberia:EllenJohnsonSirleaf Wants to Blackmail CDC: It is now clear that Liberia are going t... http://t.co/STnhoSZh who will last","Twitter 1","2011-11-07 11:02:54",susan_ducan,NULL,NULL,NULL,NULL,NULL,NULL
"Ashton critica el boicot de la oposiciÃƒÂ³n en las elecciones presidenciales de Liberia http://t.co/W2HERoVd","Twitter 1","2011-11-07 14:04:23",elmundoes_inter,NULL,NULL,NULL,NULL,NULL,NULL
"Ashton critica el boicot de la oposiciÃƒÂ³n en las elecciones presidenciales de Liberia:WinstonTubman boicotearÃƒÂ¡ la segun... http://t.co/01bD3nlx","Twitter 1","2011-11-07 14:04:23",Parhouse,NULL,NULL,NULL,NULL,NULL,NULL
"Dear Liberia will you vote tomorrow ?Despite the withdrawal of WinstonTubman #Liberia #elections  http://t.co/8vTNPgkv #Africa","Twitter 1","2011-11-07 12:25:53",BBCAfrica,NULL,NULL,NULL,NULL,NULL,NULL
"#LiberiaElections: Tense standoff between opposition party and police http://t.co/1wBo2s8t #Liberia2011","Twitter 1","2011-11-07 14:06:56",liberiaelection,NULL,NULL,NULL,NULL,NULL,NULL
"Sirleaf Wants to Blackmail CDC: It is now clear that Liberia are going to the runoff polls to... http://t.co/jKThrD2z #africa #liberia","Twitter 1","2011-11-07 08:59:37",AfricanNewsbot,NULL,NULL,NULL,NULL,NULL,NULL
"Sirleaf seen winning Liberia run-off vote http://t.co/1VWHmCkm","Twitter 1","2011-11-07 13:59:25",Newschomper,NULL,NULL,NULL,NULL,NULL,NULL
"ReuWorldEllenJohnsonSirleaf seen winning Liberia run-off vote - MONROVIA (Reuters) - Liberia President EllenJohnsonSirleaf i... http://t.co/R4EBCOQ8","Twitter 1","2011-11-07 13:30:46",gryphon1,NULL,NULL,NULL,NULL,NULL,NULL
"@flumesnotifier 561 | New: 4133 0EllenJohnsonSirleaf OR liberia  President Urges Voters To Ignore Rival's Boycott Plea","Twitter 1","2011-11-07 13:29:15",FlumesNotifier,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia: pour l'UE, le boycottage de la prÃƒÂ©sidentielle ""affaiblit"" la dÃƒÂ©mocratie - Afriquinfos http://t.co/SU3CTaKs","Twitter 1","2011-11-07 11:40:08",AfriquinfosLive,NULL,NULL,NULL,NULL,NULL,NULL
"RT @kenyakate: CDC opposition party beginning to amass for unapproved march on Monrovia. ECOWAS troops and UNMIL tanks standing by. #Lib ...","Twitter 1","2011-11-07 12:19:34",thingsiknow,NULL,NULL,NULL,NULL,NULL,NULL
"Tone Down The Rhetoric http://t.co/7nL0S2DJ #LIBERIA","Twitter 1","2011-11-07 11:07:36",LiberianTimes,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia/prÃƒÂ©sidentielle : rassemblement d'opposants avant une marche ÃƒÂ  Monrovia  http://t.co/Vg91v4WU","Twitter 1","2011-11-07 12:01:15",MawussiTania,NULL,NULL,NULL,NULL,NULL,NULL
"ClÃƒÂ´ture de la campagne ÃƒÂ©lectorale prÃƒÂ©sidentielle au Liberia http://t.co/Vg91v4WU","Twitter 1","2011-11-07 11:11:34",MawussiTania,NULL,NULL,NULL,NULL,NULL,NULL
"Aljazeera: Yvonne Ndege reports from midst of Liberia clashes http://t.co/6pzP6TnM","Twitter 1","2011-11-07 16:50:06",WorldNewsVideos,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia abocada a la segunda ronda de las presidenciales: 07 de noviembre de 2011,   08:59Monrovia 7 nov (PL) Li... http://t.co/wgNgagoV","Twitter 1","2011-11-07 13:01:57",jlooco,NULL,NULL,NULL,NULL,NULL,NULL
"#maxwell_lucas: Liberia - Travel News - Riot breaks out in Liberia day before vote http://t.co/2SMPorsZ","Twitter 1","2011-11-07 16:52:01",meta_guide_lr,NULL,NULL,NULL,NULL,NULL,NULL
"Ã¢â‚¬ËœMinstens een dode bij protesten oppositie LiberiaÃ¢â‚¬â„¢: Bij botsingenÃ¢â‚¬Â¦ http://t.co/eTp5f9Pp Ã¢â€“Â¸ #Veilig #Nederland","Twitter 1","2011-11-07 16:55:46",VeiligNL,NULL,NULL,NULL,NULL,NULL,NULL
"Would You Please Donate ONE Pair Of Shoes For A Child In Liberia Who Have Never Owned Their Own? http://t.co/7fIhtSXl","Twitter 1","2011-11-07 13:41:19",WORLDOFMONEYORG,NULL,NULL,NULL,NULL,NULL,NULL
"RT @mcnealious: #Liberia pickups filled with CDCians supporters shouting ""we're not voting, we're not running campaign""...","Twitter 1","2011-11-07 13:42:37",CKollie,NULL,NULL,NULL,NULL,NULL,NULL
"you know it's time for bed when your colleagues in Liberia & Ghana are up and about texting & skyping you...","Twitter 1","2011-11-07 09:32:20",sarankjones,NULL,NULL,NULL,NULL,NULL,NULL
"ECOWAS statement on the eve of the 8 November presidential run-off election in Liberia - http://t.co/4ZNDmHHk","Twitter 1","2011-11-07 08:59:08",SpyghanaCom,NULL,NULL,NULL,NULL,NULL,NULL
"#INT GUA Liberia presidential election is thrown into chaos by opposition's boycott call http://t.co/nbuUYEde","Twitter 1","2011-11-07 07:44:03",CurroTroya,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia abocada a la segunda ronda de las presidenciales: 07 de noviembre de 2011,   08:59Monrovia 7 nov (PL) Li... http://t.co/OhXJpGFr","Twitter 1","2011-11-07 13:01:37",omarcrivas,NULL,NULL,NULL,NULL,NULL,NULL
"Congress for Democratic Change Boycotts Liberia's Presidential Run-Off Election http://t.co/veP3Afba","Twitter 1","2011-11-07 12:08:54",minafabulous,NULL,NULL,NULL,NULL,NULL,NULL
"US state Department condemns CDC election boycott http://t.co/2RKK46rn #Liberia","Twitter 1","2011-11-07 12:18:27",ushahidiliberia,NULL,NULL,NULL,NULL,NULL,NULL
"http://t.co/frtkFDWi Liberia: YES Commemorates UN Day With Essay, Art Competition - http://t.co/hsMU7JKR","Twitter 1","2011-11-07 11:55:19",tristorretoken,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia inicia su jornada de reflexiÃƒÂ³n ante polÃƒÂ©mica segunda ronda electoral -... http://t.co/Duqvt4LY","Twitter 1","2011-11-07 11:13:14",QuiNews1,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia abocada a la segunda ronda de las presidenciales: 07 de noviembre de 2011,   08:59Monrovia 7 nov (PL) Li... http://t.co/4COzBDEI","Twitter 1","2011-11-07 13:01:40",nieker,NULL,NULL,NULL,NULL,NULL,NULL
"LiberiaÃ¢â‚¬â„¢s Runoff Overshadowed by Uncertainty as Opposition Decides to Boycott http://t.co/EgAqu52u","Twitter 1","2011-11-07 07:17:59",andrewsegawa,NULL,NULL,NULL,NULL,NULL,NULL
"Le #Liberia qui dÃƒÂ©cide d'exÃƒÂ©cuter des numÃƒÂ©ros de haute voltige si prÃƒÂ¨s du prÃƒÂ©cipice. G ne puis m'empÃƒÂªcher d'avoir peur pr ma #civ2010 chÃƒÂ©rie","Twitter 1","2011-11-07 10:50:04",Altesse77,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia challenger warns of turmoil unless poll delayed  http://t.co/85CQitOd","Twitter 1","2011-11-07 11:27:10",africantalk,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia: Halt  November 8th Kangaroo Election, Ex-TRC Chairman Urges Senate: http://t.co/6GE7KLjl","Twitter 1","2011-11-07 11:51:55",diasporaitv,NULL,NULL,NULL,NULL,NULL,NULL
"RT @itsjina: New: Violence erupts on eve of #Liberia elections (breaking w/ field reporting & aggregation) http://t.co/nLFyGl67","Twitter 1","2011-11-07 16:47:14",AIPRny,NULL,NULL,NULL,NULL,NULL,NULL
"Statement by the spokesperson of the High Representative Catherine Ashton on Liberia.http://is.gd/CXBDR0","Twitter 1","2011-11-07 09:17:37",apo_source,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia Presidential Campaign Ends, Opposition Boycotting Vote http://t.co/BTCHgfu5","Twitter 1","2011-11-07 09:23:24",Dweeb1,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia: Au moins un mort dans une manifestation Ã¢â‚¬Å½de l'opposition - http://t.co/KbPknQwV","Twitter 1","2011-11-07 17:11:13",connectionivoir,NULL,NULL,NULL,NULL,NULL,NULL
"Civic Action: We need hospitals in Yekepa Nimba and other counties in Liberia: Many Liberia families,... http://t.co/XSHChhRO #Petition","Twitter 1","2011-11-07 11:56:58",civicdirect,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia:All Must Commit to Peace - http://t.co/k7HtyYD2","Twitter 1","2011-11-07 09:31:37",portaltoafrica,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia: U.S. Declares Boycott Violence 'Unacceptable': The US Government has declared Congress for Democratic C... http://t.co/Q2WuXg9c","Twitter 1","2011-11-07 12:33:52",CameroonTV,NULL,NULL,NULL,NULL,NULL,NULL
"#Amazon #Deals: FlaggenfritzeÃ‚Â® Tischflagge Liberia 10x15 cm http://t.co/1KHBcwvv","Twitter 1","2011-11-07 07:40:30",AmzonDeDeals,NULL,NULL,NULL,NULL,NULL,NULL
"Sirleaf seen winning Liberia run-off vote      (Reuters)  http://t.co/S2BZLUP4  #Africa #Africa","Twitter 1","2011-11-07 16:52:15",CyG_Africa,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia police, opposition exchange gunfire http://t.co/mlktWaKG","Twitter 1","2011-11-07 16:59:29",olarewaju268,NULL,NULL,NULL,NULL,NULL,NULL
"ECOWAS Ã¢â‚¬ËœdisappointedÃ¢â‚¬â„¢ over opposition boycott of Liberia poll: http://t.co/GUF9Vrmf  (VOA)","Twitter 1","2011-11-07 09:00:24",USEmbPretoria,NULL,NULL,NULL,NULL,NULL,NULL
"Violence mars Liberia's presidential run off: At least one person died when a peaceful protest against Liberia's... http://t.co/yJ8hKD7W","Twitter 1","2011-11-07 17:05:34",betivasnki,NULL,NULL,NULL,NULL,NULL,NULL
"RT @TV5MONDEINFO: #Afrique Liberia: pour l'UE, le boycottage de la prÃƒÂ©sidentielle ""affaiblit"" la dÃƒÂ©mocratie: La chef de la diploma... ht ...","Twitter 1","2011-11-07 10:02:54",LOLINOSS,NULL,NULL,NULL,NULL,NULL,NULL
"#abidjan #civ2010 #civsocial #Avenue225 Liberia: pour l'UE, le boycottage de la prÃƒÂ©sidentielle ""affaiblit"" la ... http://t.co/hKG03wUr","Twitter 1","2011-11-07 09:53:06",cafeaboki,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia runoff in chaos as opposition calls for boycott http://t.co/2Guv5m8d #LIBERIA","Twitter 1","2011-11-07 07:26:20",LiberianTimes,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia: U.S. Declares Boycott Violence 'Unacceptable' http://t.co/MaufnXzW","Twitter 1","2011-11-07 12:33:53",BigViews,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia: Ellen,WinstonTubman Clash Over ""Constitutional Violation"": President EllenJohnsonSirleaf has accused the st... http://t.co/LmYkdMm9","Twitter 1","2011-11-07 13:39:10",briankerry,NULL,NULL,NULL,NULL,NULL,NULL
"RT @BBCAfrica: #Liberia's President EllenJohnsonSirleaf says a call to boycott the presidential vote is illegal and an effort to intim ...","Twitter 1","2011-11-07 08:43:46",ABrandNewWorld,NULL,NULL,NULL,NULL,NULL,NULL
"RT @DestinationLIB: Rise and shine Liberia! Let's keep peace and unity at the forefront of our minds today. #LiberiaRising","Twitter 1","2011-11-07 09:52:10",fprebellion,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia president asks voters to ignore boycott http://t.co/4XoRGcUE","Twitter 1","2011-11-07 11:27:49",sierraleonenet,NULL,NULL,NULL,NULL,NULL,NULL
"@ThatGuyAbz mix with dutch and Liberia lol","Twitter 1","2011-11-07 12:48:45",_GetUHypnotized,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia opposition calls for mass protest  http://t.co/jyMSwZ60 via @AddThis","Twitter 1","2011-11-07 09:55:28",Indepthafrica,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia abocada a la segunda ronda de las presidenciales: 07 de noviembre de 2011,   08:59Monrovia 7 nov (PL) Li... http://t.co/gQouK3vK","Twitter 1","2011-11-07 13:01:43",islavisionicrt,NULL,NULL,NULL,NULL,NULL,NULL
"LeT's PrAy FoR  tHe  LiBeRiA","Twitter 1","2011-11-07 10:36:15",annatumala,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia: WASH Media Forum With Legislative, Presidential Candidates Hailed http://t.co/Ga3kvJoC #Africa #Water","Twitter 1","2011-11-07 12:48:24",pascaluccelli,NULL,NULL,NULL,NULL,NULL,NULL
"News of standoff between CDC opposition party attempting to rally and #UNMIL + ECOWAS. On my way to Congo Town to check it out. #Liberia2011","Twitter 1","2011-11-07 12:47:05",kenyakate,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia : pour l'UE, le boycottage de la prÃƒÂ©sidentielle ""affaiblit"" la dÃƒÂ©mocratie http://t.co/431gtvUr","Twitter 1","2011-11-07 12:37:27",Suprano,NULL,NULL,NULL,NULL,NULL,NULL
"AFP: Liberia boycott dampens poll spirit as campaign ends http://t.co/02SR2jq7","Twitter 1","2011-11-07 13:17:20",tartvf,NULL,NULL,NULL,NULL,NULL,NULL
"Reconsider Your Decision; Participate - Urey Urges CDC http://t.co/qBRHJjb8 #LIBERIA","Twitter 1","2011-11-07 11:07:37",LiberianTimes,NULL,NULL,NULL,NULL,NULL,NULL
"RT @NemaVeze: Only 4 countries have no nat'l law mandating paid time off for new parents: Liberia, Papua New Guinea, Swaziland, the US.  ...","Twitter 1","2011-11-07 13:34:34",AKrulesOK,NULL,NULL,NULL,NULL,NULL,NULL
"worried about #Liberia @allafrica - Opposition Calls Protest On Eve of Poll: http://t.co/sR1mAR9D","Twitter 1","2011-11-07 11:30:13",_decassia_,NULL,NULL,NULL,NULL,NULL,NULL
"Riot at CDC Headquarters involving CDC supporters and Liberia National Police officers. #Liberia","Twitter 1","2011-11-07 14:05:00",lutherjeke,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia challenger warns of turmoil unless poll delayed...: http://t.co/uW7u42Wy","Twitter 1","2011-11-07 13:16:54",SHADI_ALKASIM,NULL,NULL,NULL,NULL,NULL,NULL
"Please Say a Prayer For #Liberia Again..The Run-Off is 2Moro NWinstonTubman is Angry #Africa","Twitter 1","2011-11-07 07:20:31",AngeloBenjy,NULL,NULL,NULL,NULL,NULL,NULL
"World -  One killed in Liberia pre-election clash http://t.co/agoJ7zxr #Reuters","Twitter 1","2011-11-07 17:02:00",news4canada,NULL,NULL,NULL,NULL,NULL,NULL
"#Liberia: opposition predicts election chaos http://t.co/jVBvx1AB","Twitter 1","2011-11-07 11:08:00",RNWAfrica,NULL,NULL,NULL,NULL,NULL,NULL
"I posted 7 photos on Facebook in the album ""Project #4: Hope Misson School, Paynesville, Liberia 2011"" http://t.co/yKC6f4to","Twitter 1","2011-11-07 08:47:23",faceafrica,NULL,NULL,NULL,NULL,NULL,NULL
"#AshleyJohanna3: All Incl. Escape 7 Nts Flamingo Beach Liberia + Air - published by http://t.co/BWpClt87 (aol): Share With Friends:  ...","Twitter 1","2011-11-07 10:18:11",meta_guide_lr,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia violence breaks out before election: At least one person killed in gunfire in Monrovia the day before a ... http://t.co/8JN0h35M","Twitter 1","2011-11-07 16:53:19",Test543212,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia runoff in chaos as opposition calls for boycott: Liberia's main opposition leader has called for a boyco... http://t.co/BFnCfxap","Twitter 1","2011-11-07 10:33:39",SouthAfricaNew1,NULL,NULL,NULL,NULL,NULL,NULL
"LiberiaÃ¢â‚¬â„¢s Runoff Overshadowed by Uncertainty as Opposition Decides to Boycott: LiberiaÃ¢â‚¬â„¢s Runoff election meant t... http://t.co/Ebor4B3j","Twitter 1","2011-11-07 07:16:03",andrewsegawa,NULL,NULL,NULL,NULL,NULL,NULL
"RT @AlertNet: Liberia police raid #opposition HQ, repelled by UN peacekeepers http://t.co/7nVx40E2 #liberia","Twitter 1","2011-11-07 17:10:01",MWorldNews,NULL,NULL,NULL,NULL,NULL,NULL
"Source at scene: #Liberia National Police officer so angry that he drew weapon on UNMIL peacekeeper.","Twitter 1","2011-11-07 17:18:28",pj_blue,NULL,NULL,NULL,NULL,NULL,NULL
"Riot on the eve of liberia2011 presidential run-off http://t.co/an3pKCaG","Twitter 1","2011-11-07 16:56:20",ushahidiliberia,NULL,NULL,NULL,NULL,NULL,NULL
"Gunfire at Liberia poll protest - BBC News http://t.co/qE4Fsylq","Twitter 1","2011-11-07 17:10:06",Ramonhouse1,NULL,NULL,NULL,NULL,NULL,NULL
"Worrying news from Liberia - opposition boycotting presidential run off and now this http://t.co/nrgFVnWE","Twitter 1","2011-11-07 16:46:24",Gwenbarry,NULL,NULL,NULL,NULL,NULL,NULL
"Gunfire at Liberia poll protest - BBC News http://t.co/CU9dNOnA","Twitter 1","2011-11-07 16:50:08",JordanMercer1,NULL,NULL,NULL,NULL,NULL,NULL
"Sirleaf seen winning Liberia run-off vote: MONROVIA (Reuters) - Liberia President EllenJohnsonSirleaf is pois... http://t.co/DF4WgDt2","Twitter 1","2011-11-07 13:08:33",urbannewsafrica,NULL,NULL,NULL,NULL,NULL,NULL
"#TeamFollowBack One killed in Liberia pre-election clash: MONROVIA (Reuters) - Clashes and sporadi... http://t.co/9LdqZIEl #f4f @Kaijzer","Twitter 1","2011-11-07 17:00:51",TavicPromo,NULL,NULL,NULL,NULL,NULL,NULL
"Ashton critica el boicot de la oposiciÃƒÂ³n en las elecciones presidenciales de Liberia http://t.co/WBBH8Q6D","Twitter 1","2011-11-07 13:43:12",elmundoes_mundo,NULL,NULL,NULL,NULL,NULL,NULL
"Timeline: Liberia: from civil war chaos to fragile hope - Reuters: (Reuters) - From 1989-2003, Liberia became fo... http://t.co/Seo3Xk4R","Twitter 1","2011-11-07 13:03:04",newsaddicts,NULL,NULL,NULL,NULL,NULL,NULL
"RT @texasinafrica: BBC reporting at least one dead in Liberia election violence: http://t.co/MHyfbwDf #Liberia2011","Twitter 1","2011-11-07 17:17:31",danatgu,NULL,NULL,NULL,NULL,NULL,NULL
"Ashton critica el boicot de la oposiciÃƒÂ³n en las elecciones presidenciales de Liberia:WinstonTubman boicotearÃƒÂ¡ la segun... http://t.co/3y4G6Tgy","Twitter 1","2011-11-07 14:05:52",KruegerInvest,NULL,NULL,NULL,NULL,NULL,NULL
"Journal of a Voyage to Liberia and a Visit to Several of Its Settlements: This is an EXACT reproduction of a boo... http://t.co/EU1b2Syt","Twitter 1","2011-11-07 10:10:41",Joanagmn,NULL,NULL,NULL,NULL,NULL,NULL
"Sirleaf seen winning Liberia run-off vote (Reuters) http://t.co/5Y0RxzFn #topnews","Twitter 1","2011-11-07 13:23:50",tysonledger,NULL,NULL,NULL,NULL,NULL,NULL
"ECOWAS Ã¢â‚¬ËœDisappointedÃ¢â‚¬â„¢ Over Opposition Boycott of Liberia Poll","Twitter 1","2011-11-07 09:05:07",erczimbabwe,NULL,NULL,NULL,NULL,NULL,NULL
"Audioboo: @RFI_English Interview: Violence in #Monrovia ahead of #Liberia election, Yasmina Bouziane, UNMIL http://t.co/RHOCOOxq","Twitter 1","2011-11-07 17:15:22",Daniel_Finnan,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia: CDC Is in the Race - NEC: The National Elections Commission (NEC) has announced that the opposition Con... http://t.co/xQfns3sU","Twitter 1","2011-11-07 12:33:52",CameroonTV,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia presidential election is thrown into chaos by opposition's boycott c.. http://t.co/67nTimcl (via @JeffersonObama)","Twitter 1","2011-11-07 07:48:48",UKelectionNews,NULL,NULL,NULL,NULL,NULL,NULL
"#Afrique Liberia: pour l'UE, le boycottage de la prÃƒÂ©sidentielle ""affaiblit"" la dÃƒÂ©mocratie: La chef de la diploma... http://t.co/R5Q7ae21","Twitter 1","2011-11-07 09:59:50",TV5MONDEINFO,NULL,NULL,NULL,NULL,NULL,NULL
"God bless Liberia","Twitter 1","2011-11-07 16:54:21",heavenSentDiva,NULL,NULL,NULL,NULL,NULL,NULL
"Deadly Clashes in Liberia Threaten Presidential Run-Off Vote http://t.co/6SsnpcpT [VIDEO]","Twitter 1","2011-11-07 17:06:21",linktvnews,NULL,NULL,NULL,NULL,NULL,NULL
"Se escuchan disparos en la sede del principal partido de oposiciÃƒÂ³n en Liberia","Twitter 1","2011-11-07 13:57:25",noticias24,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia: Elections Boycott Is a Constitutionally Guaranteed Right - WinstonTubman http://t.co/K3eWlgAl","Twitter 1","2011-11-07 10:15:32",TooPolitical,NULL,NULL,NULL,NULL,NULL,NULL
"RT @elmundoes_europ: Ashton critica el boicot de la oposiciÃƒÂ³n en las elecciones presidenciales de Liberia http://t.co/ZRJpu5wR","Twitter 1","2011-11-07 14:01:03",jjmorante,NULL,NULL,NULL,NULL,NULL,NULL
"I canÃ¢â‚¬â„¢t even begin to fathom why WinstonTubman & CDC decided to boycott LiberiaÃ¢â‚¬â„¢s runoff elections to be held tomorrow #liberiaelections","Twitter 1","2011-11-07 13:56:43",Duwli,NULL,NULL,NULL,NULL,NULL,NULL
"Rioting breaks out at opposition party headquarters in Liberia day before runoffÃ¢â‚¬Â¦ http://t.co/lRhZIEF0 #LIBERIA","Twitter 1","2011-11-07 16:47:02",LiberianTimes,NULL,NULL,NULL,NULL,NULL,NULL
"Tubman seeks Liberia's poll delay http://t.co/Tz1jXFPH","Twitter 1","2011-11-07 10:39:30",breakingnewsnig,NULL,NULL,NULL,NULL,NULL,NULL
"RT @LiberiaTimes: Rioting breaks out at opposition party headquarters in Liberia day before runoffÃ¢â‚¬Â¦ http://t.co/lRhZIEF0 #LIBERIA","Twitter 1","2011-11-07 17:20:47",2ndChanceAfrica,NULL,NULL,NULL,NULL,NULL,NULL
"At least one person killed in election-related unrest in Monrovia, Liberia http://t.co/01O9PrqB","Twitter 1","2011-11-07 17:21:16",tombcn,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia's main opposition party to boycott the run-off because of alleged electoral malpractices.will he call US n NATO to come to his aid?","Twitter 1","2011-11-07 12:42:19",NanaSirOsei,NULL,NULL,NULL,NULL,NULL,NULL
"@BBX_90 I done praying for Liberia..","Twitter 1","2011-11-07 17:03:10",JoeJerzey,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia: Elections Boycott Is a Constitutionally Guaranteed Right - WinstonTubmanÃ¢â‚¬Â¦ http://t.co/92eCQTxc #LIBERIA","Twitter 1","2011-11-07 09:00:27",LiberianTimes,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia, Public Hotspot Safety Hinges On VPNs http://t.co/WXvmAErL use http://t.co/X16DARSg","Twitter 1","2011-11-07 12:44:35",cloakVPN,NULL,NULL,NULL,NULL,NULL,NULL
"Tanzanie, Gabon, Liberia, Nigeria et Zimbabwe, retrouvez les pays qui font l'actualitÃƒÂ© de l'#Afrique ce 7 Novembre http://t.co/NnRSWKLh","Twitter 1","2011-11-07 11:34:54",TV5MondeAfrique,NULL,NULL,NULL,NULL,NULL,NULL
"Sirleaf seen winning Liberia run-off vote http://t.co/uqrs1K07","Twitter 1","2011-11-07 14:01:07",ReutersWorld,NULL,NULL,NULL,NULL,NULL,NULL
"Recuerde que El Economista lo lleva a vacacionar a Liberia #Guanacaste, en #CostaRica http://t.co/38FT9m3K","Twitter 1","2011-11-07 16:48:47",Eleconomistanet,NULL,NULL,NULL,NULL,NULL,NULL
"RT @LiberiaTimes: Rioting breaks out at opposition party headquarters in Liberia day before runoffÃ¢â‚¬Â¦ http://t.co/lRhZIEF0 #LIBERIA","Twitter 1","2011-11-07 16:55:07",genebrooks,NULL,NULL,NULL,NULL,NULL,NULL
"Indiana University to help rebuild Liberia's med education system | http://t.co/DRBQzNEv #Education #Development","Twitter 1","2011-11-07 12:45:35",DestinationLIB,NULL,NULL,NULL,NULL,NULL,NULL
"RT @mailandguardian: Liberia runoff chaos as opposition calls for boycott, accusing Nobel laureate EllenJohnsonSirleaf of seeking one-party st ...","Twitter 1","2011-11-07 08:36:35",MBendi,NULL,NULL,NULL,NULL,NULL,NULL
"Good news today from @PumpAid re this toilet project in rural Liberia: http://t.co/yUKCybvY Women and kids now much safer. #Akvo","Twitter 1","2011-11-07 17:22:21",Jo108,NULL,NULL,NULL,NULL,NULL,NULL
"One killed in Liberia pre-election clash: MONROVIA (Reuters) - Clashes and sporadic gunfire rocked part of Monro... http://t.co/hGGcFisW","Twitter 1","2011-11-07 17:00:52",Kyledavid23,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia abocada a la segunda ronda de las presidenciales: 07 de noviembre de 2011,   08:59Monrovia 7 nov (PL) Li... http://t.co/C1JEP3sm","Twitter 1","2011-11-07 13:01:45",Apocalipsis316,NULL,NULL,NULL,NULL,NULL,NULL
"Gunfire at Liberia poll protest - BBC News: Reuters Africa Gunfire at Liberia poll protestÃ¢â‚¬Â¦ http://t.co/8sBStVVw","Twitter 1","2011-11-07 17:17:30",anzar_djabri,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia : la prÃƒÂ©sidente perd son challenger: WinstonTubman appelle au boycott du second tour de la prÃƒÂ©sidentielle qui l'oppose mardi...","Twitter 1","2011-11-07 08:47:35",LeFigaro_LaUne,NULL,NULL,NULL,NULL,NULL,NULL
"#TeamFollowBackEllenJohnsonSirleaf seen winning Liberia run-off vote: MONROVIA (Reuters) - Liberia President... http://t.co/8ZY5fEjp #f4f @Kaijzer","Twitter 1","2011-11-07 12:47:19",TavicPromo,NULL,NULL,NULL,NULL,NULL,NULL
"RT @dailymaverick: Tub-thumpingWinstonTubman threatens Liberia's democracy http://t.co/gltVXQkX By SIMON ALLISON (@simonallison)","Twitter 1","2011-11-07 07:31:10",NtombiniMarr,NULL,NULL,NULL,NULL,NULL,NULL
"Rioting breaks out at opposition party headquarters in Liberia day before runoff vote; 1 dead (Washington Post) http://t.co/QqsYUjsU","Twitter 1","2011-11-07 16:47:32",GarissKerass,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia campaigns for presidential run-off ends http://t.co/8XeiIwfk","Twitter 1","2011-11-07 10:12:55",cctv_world,NULL,NULL,NULL,NULL,NULL,NULL
"Sirleaf seen winning Liberia run-off vote: MONROVIA (Reuters) - Liberia President EllenJohnsonSirleaf is pois... http://t.co/GOzirYeQ","Twitter 1","2011-11-07 12:49:58",xvirgo88x,NULL,NULL,NULL,NULL,NULL,NULL
"Ashton critica el boicot de la oposiciÃƒÂ³n en las elecciones presidenciales de Liberia:WinstonTubman boicotea... http://t.co/naQl7D4U #eldateado","Twitter 1","2011-11-07 14:05:52",eldateado,NULL,NULL,NULL,NULL,NULL,NULL
"RT @kenyakate: CDC opposition party beginning to amass for unapproved march on Monrovia. ECOWAS troops and UNMIL tanks standing by. #Lib ...","Twitter 1","2011-11-07 12:14:47",BrennaCarmody,NULL,NULL,NULL,NULL,NULL,NULL
"#Cuba #CubaVa Liberia abocada a la segunda ronda de las presidenciales: 07 de noviembre de ... http://t.co/HdeON2bJ #VivaFidel #VivaRaÃƒÂº","Twitter 1","2011-11-07 13:01:56",Rikydepinar,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia: CDC Is in the Race - NEC: The National Elections Commission (NEC) has announced that the opposition Con... http://t.co/nWft3VJR","Twitter 1","2011-11-07 12:33:53",jakerise,NULL,NULL,NULL,NULL,NULL,NULL
"Liberia: African Union observer mission concern over opposition call for a poll boycott tomorrow: http://t.co/dSBz7BRJ  (AFP)","Twitter 1","2011-11-07 09:42:41",USEmbPretoria,NULL,NULL,NULL,NULL,NULL,NULL
